id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rate,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
48906493.0,15000.0,13685.700252028342,15000.0,13685.700252028342,0.28,478.0,436.1176480313032,3817.0,3482.5545241328123,1.0960345268249512,5.0,1.0,36.0,7.0,0.0,1.0
48916157.0,28000.0,25546.64047045291,1000.0,912.3800168018895,0.28,856.0,780.9972943824174,6844.0,6244.328834992132,1.0960345268249512,5.0,1.0,36.0,2.0,1.0,2.0
48916588.0,6000.0,5474.280100811337,6000.0,5474.280100811337,0.14,206.0,187.95028346118926,6300.0,5747.994105851904,1.0960345268249512,5.0,1.0,36.0,15.0,0.0,4.0
48926499.0,11600.0,10583.608194901919,11600.0,10583.608194901919,0.24,340.0,310.2092057126424,2707.0,2469.812705482715,1.0960345268249512,5.0,1.0,60.0,29.0,1.0,2.0
48926553.0,12000.0,10948.560201622675,12000.0,10948.560201622675,0.14,413.0,376.8129469391804,3291.0,3002.6426352950184,1.0960345268249512,5.0,1.0,36.0,15.0,0.0,3.0
48976951.0,35000.0,31933.300588066133,35000.0,31933.300588066133,0.24,1027.0,937.0142772555406,38462.0,35091.960206234275,1.0960345268249512,5.0,1.0,60.0,29.0,1.0,3.0
48986216.0,30000.0,27371.400504056684,30000.0,27371.400504056684,0.13,1015.0,926.0657170539179,8080.0,7372.030535759268,1.0960345268249512,5.0,1.0,36.0,13.0,1.0,4.0
48986351.0,8000.0,7299.040134415116,8000.0,7299.040134415116,0.28,268.0,244.5178445029064,1872.0,1707.9753914531373,1.0960345268249512,5.0,1.0,36.0,12.0,1.0,2.0
48986437.0,25000.0,22275.74954270043,25000.0,22275.74954270043,0.13,573.0,510.5601795186939,3974.0,3540.9531473076604,1.122296690940857,6.0,1.0,60.0,13.0,1.0,1.0
48986442.0,5000.0,4561.900084009448,5000.0,4561.900084009448,0.28,154.0,140.506522587491,1090.0,994.4942183140596,1.0960345268249512,5.0,0.0,36.0,3.0,1.0,4.0
49016354.0,9500.0,8667.61015961795,9500.0,8667.61015961795,0.28,316.0,288.3120853093971,2211.0,2017.2722171489777,1.0960345268249512,5.0,1.0,60.0,11.0,0.0,2.0
49016439.0,10000.0,9044.153330952964,10000.0,9044.153330952964,0.28,333.0,301.1703059207337,2327.0,2104.574480112755,1.1056866943836212,0.0,1.0,36.0,11.0,1.0,3.0
49016550.0,13200.0,12043.416221784943,13200.0,12043.416221784943,0.28,432.0,394.14816725841627,2733.0,2493.534585919564,1.0960345268249512,5.0,0.0,36.0,10.0,1.0,2.0
49026159.0,5000.0,4561.900084009448,5000.0,4561.900084009448,0.28,153.0,139.5941425706891,1079.0,984.4580381292388,1.0960345268249512,5.0,1.0,36.0,3.0,0.0,4.0
49026282.0,8000.0,7299.040134415116,8000.0,7299.040134415116,0.28,261.0,238.13118438529318,2090.0,1906.8742351159492,1.0960345268249512,5.0,1.0,36.0,9.0,0.0,2.0
49026489.0,9600.0,8758.84816129814,9600.0,8758.84816129814,0.28,297.0,270.9768649901612,9960.0,9087.30496734682,1.0960345268249512,5.0,1.0,36.0,4.0,0.0,2.0
49036479.0,8000.0,7299.040134415116,8000.0,7299.040134415116,0.28,258.0,235.3940443348875,2060.0,1879.5028346118925,1.0960345268249512,5.0,1.0,36.0,10.0,0.0,2.0
49037336.0,22400.0,19959.071590259584,22400.0,19959.071590259584,0.13,521.0,464.226620469877,3612.0,3218.400293929358,1.122296690940857,6.0,1.0,60.0,15.0,1.0,1.0
49037804.0,32000.0,29196.160537660464,32000.0,29196.160537660464,0.28,816.0,744.5020937103419,6503.0,5933.207249262688,1.0960345268249512,5.0,1.0,60.0,21.0,1.0,2.0
49038022.0,13075.0,11929.368719684706,13075.0,11929.368719684706,0.22,368.0,335.75584618309534,0.0,0.0,1.0960345268249512,5.0,0.0,60.0,27.0,1.0,2.0
49066922.0,7000.0,6386.660117613227,7000.0,6386.660117613227,0.28,234.0,213.49692393164216,1631.0,1488.0918074038818,1.0960345268249512,5.0,1.0,36.0,12.0,1.0,2.0
49067026.0,10000.0,9123.800168018895,10000.0,9123.800168018895,0.28,301.0,274.62638505736874,2406.0,2195.1863204253464,1.0960345268249512,5.0,1.0,36.0,5.0,1.0,1.0
49067030.0,3500.0,3193.3300588066136,3500.0,3193.3300588066136,0.28,115.0,104.9237019322173,812.0,740.8525736431343,1.0960345268249512,5.0,1.0,36.0,10.0,0.0,3.0
49067334.0,8000.0,7299.040134415116,8000.0,7299.040134415116,0.28,266.0,242.69308446930262,8418.0,7680.414981438306,1.0960345268249512,5.0,1.0,36.0,11.0,1.0,3.0
49068010.0,26400.0,24086.832443569885,26400.0,24086.832443569885,0.13,1372.0,1251.7853830521924,4278.0,3903.1617118784834,1.0960345268249512,5.0,1.0,60.0,14.0,1.0,3.0
49068592.0,16800.0,15327.984282271744,16800.0,15327.984282271744,0.15,405.0,369.51390680476527,2799.0,2553.751667028489,1.0960345268249512,5.0,1.0,60.0,20.0,1.0,2.0
49068736.0,19075.0,17403.648820496044,19075.0,17403.648820496044,0.23,548.0,499.9842492074355,19443.0,17739.40466667914,1.0960345268249512,5.0,1.0,60.0,28.0,1.0,4.0
49077694.0,35000.0,31186.0493597806,35000.0,31186.0493597806,0.28,1084.0,965.8765001714906,35341.0,31489.890583543038,1.122296690940857,6.0,1.0,60.0,4.0,1.0,1.0
49077746.0,12000.0,10948.560201622675,12000.0,10948.560201622675,0.28,387.0,353.0910665023313,2703.0,2466.1631854155075,1.0960345268249512,5.0,1.0,36.0,8.0,1.0,2.0
49096781.0,18000.0,16422.84030243401,1000.0,912.3800168018895,0.28,603.0,550.1651501315393,4213.0,3843.8570107863607,1.0960345268249512,5.0,1.0,36.0,12.0,1.0,2.0
49106123.0,18000.0,16422.84030243401,18000.0,16422.84030243401,0.28,382.0,348.5291664183218,41913.0,38240.58364421759,1.0960345268249512,5.0,1.0,60.0,8.0,1.0,4.0
49106715.0,14375.0,13115.462741527163,14375.0,13115.462741527163,0.13,491.0,447.97858824972775,3920.0,3576.529665863407,1.0960345268249512,5.0,0.0,36.0,14.0,0.0,2.0
49116240.0,10000.0,9123.800168018895,10000.0,9123.800168018895,0.28,333.0,303.8225455950292,2321.0,2117.6340189971856,1.0960345268249512,5.0,1.0,36.0,11.0,1.0,4.0
49116528.0,20000.0,18247.60033603779,20000.0,18247.60033603779,0.16,708.0,645.9650518957378,5061.0,4617.555265034363,1.0960345268249512,5.0,1.0,36.0,17.0,1.0,1.0
49117017.0,4000.0,3649.520067207558,4000.0,3649.520067207558,0.28,127.0,115.87226213383997,890.0,812.0182149536816,1.0960345268249512,5.0,1.0,36.0,7.0,0.0,4.0
49126561.0,8000.0,7299.040134415116,8000.0,7299.040134415116,0.28,240.0,218.9712040324535,41913.0,38240.58364421759,1.0960345268249512,5.0,1.0,36.0,1.0,1.0,4.0
49126686.0,4000.0,3649.520067207558,4000.0,3649.520067207558,0.28,131.0,119.52178220104753,4120.0,3759.005669223785,1.0960345268249512,5.0,1.0,36.0,10.0,1.0,3.0
49136929.0,10000.0,8910.299817080173,10000.0,8910.299817080173,0.28,318.0,283.3475341831495,2226.0,1983.4327392820462,1.122296690940857,6.0,1.0,36.0,7.0,1.0,4.0
49137081.0,25000.0,22809.50042004724,25000.0,22809.50042004724,0.28,763.0,696.1459528198417,6097.0,5562.78096244112,1.0960345268249512,5.0,1.0,36.0,2.0,1.0,2.0
49137225.0,29850.0,27234.543501536402,29850.0,27234.543501536402,0.18,1372.0,1251.7853830521924,6035.0,5506.213401399404,1.0960345268249512,5.0,1.0,60.0,21.0,1.0,4.0
49146193.0,11200.0,10218.656188181163,11200.0,10218.656188181163,0.13,382.0,348.5291664183218,2670.0,2436.0546448610453,1.0960345268249512,5.0,1.0,36.0,14.0,0.0,2.0
49146487.0,10000.0,9123.800168018895,10000.0,9123.800168018895,0.28,312.0,284.66256524218954,2494.0,2275.4757619039124,1.0960345268249512,5.0,1.0,36.0,5.0,0.0,1.0
49157249.0,20000.0,18247.60033603779,20000.0,18247.60033603779,0.28,645.0,588.4851108372187,4505.0,4110.271975692513,1.0960345268249512,5.0,1.0,36.0,8.0,1.0,4.0
49157696.0,11000.0,10036.180184820785,11000.0,10036.180184820785,0.28,339.0,309.29682569584054,2708.0,2470.725085499517,1.0960345268249512,5.0,1.0,36.0,3.0,0.0,4.0
49158084.0,8000.0,7128.239853664138,8000.0,7128.239853664138,0.28,261.0,232.5588252257925,1828.0,1628.8028065622555,1.122296690940857,6.0,1.0,36.0,9.0,1.0,4.0
49158333.0,15000.0,13365.449725620258,15000.0,13365.449725620258,0.18,382.0,340.37345301246256,2665.0,2374.594901251866,1.122296690940857,6.0,1.0,60.0,21.0,1.0,3.0
49158421.0,8000.0,7299.040134415116,8000.0,7299.040134415116,0.15,279.0,254.55402468772718,8742.0,7976.026106882118,1.0960345268249512,5.0,1.0,36.0,16.0,0.0,1.0
49159374.0,6000.0,5346.179890248103,1000.0,891.0299817080172,0.28,201.0,179.09702632331147,1400.0,1247.441974391224,1.122296690940857,6.0,1.0,36.0,12.0,1.0,1.0
49159380.0,4000.0,3649.520067207558,4000.0,3649.520067207558,0.28,125.0,114.04750210023619,877.0,800.1572747352571,1.0960345268249512,5.0,1.0,60.0,6.0,1.0,4.0
49159849.0,9000.0,8211.420151217006,9000.0,8211.420151217006,0.16,320.0,291.96160537660467,9713.0,8861.947103196753,1.0960345268249512,5.0,1.0,36.0,18.0,0.0,0.0
49167450.0,15000.0,13685.700252028342,15000.0,13685.700252028342,0.13,507.0,462.576668518558,3543.0,3232.562399529095,1.0960345268249512,5.0,1.0,36.0,13.0,1.0,1.0
49167503.0,11200.0,10218.656188181163,11200.0,10218.656188181163,0.21,309.0,281.92542519178386,2130.0,1943.3694357880247,1.0960345268249512,5.0,1.0,60.0,26.0,1.0,1.0
49177489.0,35000.0,31933.300588066133,35000.0,31933.300588066133,0.28,1099.0,1002.7056384652766,8781.0,8011.608927537392,1.0960345268249512,5.0,1.0,36.0,6.0,1.0,2.0
49177992.0,4800.0,4379.42408064907,4800.0,4379.42408064907,0.28,150.0,136.85700252028343,4814.0,4392.197400884296,1.0960345268249512,5.0,1.0,36.0,6.0,0.0,2.0
49187597.0,7000.0,6237.209871956121,7000.0,6237.209871956121,0.28,230.0,204.93689579284396,7425.0,6615.897614182028,1.122296690940857,6.0,1.0,36.0,10.0,1.0,1.0
49187606.0,16000.0,14256.479707328275,16000.0,14256.479707328275,0.28,333.0,296.71298390876973,2294.0,2044.0227780381915,1.122296690940857,6.0,1.0,60.0,7.0,1.0,0.0
49187914.0,10000.0,9123.800168018895,10000.0,9123.800168018895,0.18,256.0,233.56928430128372,10795.0,9849.142281376398,1.0960345268249512,5.0,1.0,60.0,22.0,1.0,4.0
49188124.0,10000.0,9123.800168018895,10000.0,9123.800168018895,0.28,212.0,193.42456356200057,1693.0,1544.659368445599,1.0960345268249512,5.0,1.0,60.0,8.0,0.0,1.0
49197240.0,10650.0,9716.847178940123,10650.0,9716.847178940123,0.16,377.0,343.96726633431234,2631.0,2400.4718242057716,1.0960345268249512,5.0,1.0,36.0,17.0,0.0,2.0
49197962.0,15000.0,13685.700252028342,15000.0,13685.700252028342,0.28,303.0,276.45114509097255,2116.0,1930.5961155527982,1.0960345268249512,5.0,1.0,60.0,5.0,1.0,3.0
